id,post_title,category_name,relationship,Impressions,Url Clicks,word_count,character_count,contains_number,contains_question,contains_quote,special_char_count,cluster,STR_High_Low,CTR_per_cluster_avg,keyword_strength,is_question,contains_keywords_score,URL CTR
15359562,שעון קיץ 2024: מתי מזיזים את השעון? כל התשובות לקראת המעבר,חלל ומדע,Child Category,1125773,131323,11,58,1,1,0,1,3,1,1.77248141809881,0.9536059223632636,1,1,0.1166514031
17181314,"לקח 15 שנים לפתוח כלי בן 3,000 - מה שנמצא בפנים משכתב את ההיסטוריה",מחקרים,Child Category,656576,81787,14,66,1,0,0,0,3,1,1.8927401660713408,1.3136706963903095,1,3,0.1245659299
15663112,פיתוח מלא בשבע דקות: האם עוד מקצוע בדרך להיכחד?,חדשות טכנולוגיה,Child Category,622336,37777,9,47,0,1,0,1,4,1,1.0171092105256407,0.6504616977230605,1,1,0.06070193593
15967619,הסוף לשיבושי ה-GPS: הישג טכנולוגי ישראלי בצפון,חדשות טכנולוגיה,Child Category,583089,76959,7,46,0,0,0,0,4,1,2.211513589227466,0.0,0,2,0.1319849971
17358276,דר המעמקים השטני התגלה ליד חופי ספרד במים רדודים,מחקרים,Child Category,572420,61540,9,48,0,0,0,0,4,1,1.801389959300847,0.0,0,0,0.1075084728
15624038,פעם ב-79 שנים: אירוע אסטרונומי נדיר בדרכו,חלל ומדע,Child Category,558119,33046,7,41,1,0,0,0,4,1,0.9921038529476228,1.0,0,2,0.05920959509
16975966,אוהבים אוכל חריף? כך זה משפיע על הגוף שלכם,טכנולוגיה ומדע,Direct Category,522567,56082,9,42,0,1,0,1,4,1,1.7982354613416234,1.3727150995993005,0,5,0.1073202097
15246740,"התרגשות בעולם המדע: ייתכן שהגיע מעולם עם אוקיינוס עתיק""""",חלל ומדע,Child Category,459141,44189,9,56,0,0,1,0,4,1,1.6126240890315122,1.4132614421336656,0,2,0.09624276638
15271438,החלום (היקר) ושברו: לקוחות החלו להחזיר את ה-Vision Pro לחנויות,חדשות טכנולוגיה,Child Category,429210,35613,10,62,0,0,0,0,3,1,1.2607542819589388,0.4345091962246996,0,2,0.08297336968
17414640,עם מומיה בתוכו: ארכיאולוגים סבורים שמצאו קבר פרעה נוסף במצרים,ארכיאולוגיה,Child Category,419712,16682,10,61,0,0,0,0,4,0,0.6659809026369023,1.0,0,1,0.03974630223
